Topic,Reference,Verse
Comfort,1 Chronicles 19:13,"Be courageous, and let’s be strong for our people and for the cities of our God. May the Lord do that which seems good to him."
Unity,1 Corinthians 12:27,"Now you are the body of Christ, and members individually."
Comfort,1 Corinthians 15:58,"Therefore, my beloved brothers, be steadfast, immovable, always abounding in the Lord’s work, because you know that your labor is not in vain in the Lord."
Courage,1 Corinthians 16:13,Watch! Stand firm in the faith! Be courageous! Be strong!
Anointing,1 John 2:20,"You have an anointing from the Holy One, and you all have knowledge."
Anointing,1 John 2:27,"As for you, the anointing which you received from him remains in you."
Love,1 Peter 3:9,"Not rendering evil for evil or insult for insult; but instead blessing, knowing that you were called to this, that you may inherit a blessing."
Provision,1 Peter 5:7,"Casting all your worries on him, because he cares for you."
Encouragement,1 Thessalonians 5:11,"Therefore exhort one another, and build each other up, even as you also do."
Unity,1 Thessalonians 5:13,Be at peace among yourselves.
Courage,2 Chronicles 15:7,"But you be strong! Don’t let your hands be slack, for your work will be rewarded."
Comfort,2 Corinthians 1:3-4,"Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort, who comforts us in all our affliction, that we may be able to comfort those who are in any affliction, through the comfort with which we ourselves are comforted by God."
Comfort,2 Corinthians 1:5,"For as the sufferings of Christ abound to us, even so our comfort also abounds through Christ."
Comfort,2 Corinthians 1:6,"But if we are afflicted, it is for your comfort and salvation. If we are comforted, it is for your comfort, which produces in you the patient enduring of the same sufferings which we also suffer."
Transformation,2 Corinthians 3:16,"But whenever someone turns to the Lord, the veil is taken away."
Renewal,2 Corinthians 4:16,"Therefore we don’t faint, but though our outward person is decaying, yet our inward person is renewed day by day."
Doubt,2 Corinthians 5:7,"For we walk by faith, not by sight."
Compassion,2 Samuel 22:20,"He also brought me out into a large place. He delivered me, because he delighted in me."
Trust,2 Samuel 22:31,He is a shield to all those who take refuge in him.
Compassion,2 Thessalonians 3:3,"But the Lord is faithful, who will establish you and guard you from the evil one."
Empowerment,2 Timothy 2:1,"You therefore, my child, be strengthened in the grace that is in Christ Jesus."
Support,2 Timothy 4:17,But the Lord stood by me and strengthened me.
Anointing,Acts 10:38,"How God anointed Jesus of Nazareth with the Holy Spirit and with power, who went about doing good."
Transformation,Colossians 2:13,"You were dead through your trespasses and the uncircumcision of your flesh. He made you alive together with him, having forgiven us all our trespasses."
Compassion,Colossians 3:12,"Put on therefore, as God’s chosen ones, holy and beloved, a heart of compassion, kindness, lowliness, humility, and perseverance."
Comfort,Daniel 10:19,"He said, “Greatly beloved man, don’t be afraid. Peace be to you. Be strong. Yes, be strong.” When he spoke to me, I was strengthened, and said, “Let my lord speak, for you have strengthened me.”"
Courage,Deuteronomy 31:8,God himself is who goes before you. He will be with you. He will not fail you nor forsake you. Don’t be afraid. Don’t be discouraged.
Compassion,Deuteronomy 4:31,For Yahweh your God is a merciful God. He will not fail you nor destroy you.
Time,Ecclesiastes 3:1,"For everything there is a season, and a time for every purpose under heaven."
Eternity,Ecclesiastes 3:11,"He has made everything beautiful in its time. He has also set eternity in their hearts, yet so that man can’t find out the work that God has done from the beginning even to the end."
Peace,Ephesians 2:17,He came and preached peace to you who were far off and to those who were near.
Unity,Ephesians 2:18,For through him we both have our access in one Spirit to the Father.
Transformation,Ephesians 4:23,And that you be renewed in the spirit of your mind.
Love,Ephesians 4:29,"Let no corrupt speech proceed out of your mouth, but only what is good for building others up as the need may be, that it may give grace to those who hear."
Love,Ephesians 4:3,Being eager to keep the unity of the Spirit in the bond of peace.
Compassion,Ephesians 4:32,"And be kind to one another, tender hearted, forgiving each other, just as God also in Christ forgave you."
Unity,Ephesians 5:2,"Walk in love, even as Christ also loved us and gave himself up for us."
Strength,Ephesians 6:10,"Finally, be strong in the Lord and in the strength of his might."
Courage,Exodus 14:14,"God will fight for you, and you shall be still."
Strength,Exodus 15:2,The Lord is my strength and song. He has become my salvation.
Compassion,Exodus 33:19,"He said, “I will make all my goodness pass before you, and will proclaim Yahweh’s name before you. I will be gracious to whom I will be gracious, and will show mercy on whom I will show mercy.”"
Transformation,Ezekiel 11:19,"I will give them one heart, and I will put a new spirit within them. I will take the stony heart out of their flesh, and will give them a heart of flesh."
Water & Life,Galatians 3:27, For as many of you as were baptized into Christ have put on Christ.
Spirit,Galatians 5:22,"But the fruit of the Spirit is love, joy, peace, patience, kindness, goodness, faith, gentleness, and self-control. "
Love,Galatians 6:2,"Bear one another’s burdens, and so fulfill the law of Christ"
Endurance,Galatians 6:9,"Let’s not be weary in doing good, for we will reap in due season if we don’t give up."
Love,Hebrews 10:24,Let’s consider how to provoke one another to love and good works.
Love,Hebrews 13:1,Let brotherly love continue.
Compassion,Hebrews 13:5,"Be free from the love of money, content with such things as you have, for he has said, “I will in no way leave you, neither will I in any way forsake you.”"
Courage,Hebrews 13:6,"So that with good courage we say,“The Lord is my helper. I will not fear. What can man do to me?”"
Confidence,Hebrews 4:16,"Let’s therefore draw near with boldness to the throne of grace, that we may receive mercy and may find grace for help in time of need."
Water & Life,Isaiah 12:3,Therefore with joy you will draw water out of the wells of salvation.
Compassion,Isaiah 30:18,"Therefore Yahweh will wait, that he may be gracious to you; and therefore he will be exalted, that he may have mercy on you, for Yahweh is a God of justice. Blessed are all those who wait for him."
Comfort,Isaiah 35:4,"Tell those who have a fearful heart, ""Be strong! Don’t be afraid!"""
Compassion,Isaiah 40:1,"Comfort, comfort my people,” says your God."
Courage,Isaiah 40:29,He gives power to the weak. He increases the strength of him who has no might.
Strength,Isaiah 41:10,"Don’t you be afraid, for I am with you. Don’t be dismayed, for I am your God. I will strengthen you. Yes, I will help you. Yes, I will uphold you with the right hand of my righteousness."
Companionship,Isaiah 41:13,"For I, Yahweh your God, will hold your right hand, saying to you, ‘Don’t be afraid. I will help you.’"
Water & Life,Isaiah 41:18,"I will open rivers on the bare heights, and springs in the middle of the valleys."
Courage,Isaiah 43:1,"Don’t be afraid, for I have redeemed you. I have called you by your name. You are mine."
Comfort,Isaiah 43:2,"When you pass through the waters, I will be with you, and through the rivers, they will not overflow you. When you walk through the fire, you will not be burned, and flame will not scorch you."
Water & Life,Isaiah 44:3,"For I will pour water on him who is thirsty, and streams on the dry ground."
Compassion,Isaiah 46:4,"Even to old age I am he, and even to gray hairs I will carry you. I have made, and I will bear. Yes, I will carry, and will deliver."
Compassion,Isaiah 49:10,"They shall not hunger nor thirst; neither shall the heat nor sun strike them, for he who has mercy on them will lead them. He will guide them by springs of water."
Compassion,Isaiah 49:13,"Sing, heavens, and be joyful, earth! Break out into singing, mountains! For Yahweh has comforted his people, and will have compassion on his afflicted."
Courage,Isaiah 50:7,For the Lord Yahweh will help me. Therefore I have not been confounded.
Comfort,Isaiah 51:12,"I, even I, am he who comforts you. Who are you, that you are afraid of man who shall die, and of the son of man who will be made as grass?"
Compassion,Isaiah 54:10,"For the mountains may depart, and the hills be removed, but my loving kindness will not depart from you, and my covenant of peace will not be removed,” says Yahweh who has mercy on you."
Water & Life,Isaiah 55:1,"Hey! Come, everyone who thirsts, to the waters!"
Love,Isaiah 58:10,"And if you pour out your soul to the hungry, and satisfy the afflicted soul, then your light will rise in darkness."
Compassion,Isaiah 61:1,"The Lord Yahweh’s Spirit is on me, because Yahweh has anointed me to preach good news to the humble. He has sent me to bind up the broken hearted, to proclaim liberty to the captives and release to those who are bound."
Anointing,Isaiah 61:3,"The oil of joy for mourning, the garment of praise for the spirit of heaviness."
Compassion,Isaiah 66:13,"As one whom his mother comforts, so I will comfort you."
Compassion,James 5:11,"Behold, we call them blessed who endured. You have heard of the perseverance of Job and have seen the Lord in the outcome, and how the Lord is full of compassion and mercy."
Shepherd,Jeremiah 23:4,"I will set up shepherds over them who will feed them. They will no longer be afraid or dismayed, neither will any be lacking."
Shepherd,John 10:14,"I am the good shepherd. I know my own, and I’m known by my own."
Shepherd,John 10:28,"I give eternal life to them. They will never perish, and no one will snatch them out of my hand."
Compassion,John 11:35,Jesus wept.
Love,John 13:34,"A new commandment I give to you, that you love one another. Just as I have loved you, you also love one another."
Calm,John 14:27,"Peace I leave with you. My peace I give to you; not as the world gives, I give to you. Don’t let your heart be troubled, neither let it be fearful."
Love,John 15:12,"This is my commandment, that you love one another, even as I have loved you."
Unity,John 17:21,"That they may all be one; even as you, Father, are in me, and I in you, that they also may be one in us; "
Unity,John 17:23,"I in them, and you in me, that they may be perfected into one, that the world may know that you sent me and loved them, even as you loved me."
Doubt,John 20:27,"Then he said to Thomas, “Reach here your finger, and see my hands. Reach here your hand, and put it into my side. Don’t be unbelieving, but believing.”"
Transformation,John 3:7,You must be born anew.
Water & Life,John 7:37,"If anyone is thirsty, let him come to me and drink!"
Courage,Joshua 1:9,"Be strong and courageous. Don’t be afraid. Don’t be dismayed, for Yahweh your God is with you wherever you go."
Peace,Judges 6:24,God is Peace.
Compassion,Lamentations 3:22,"It is because of Yahweh’s loving kindnesses that we are not consumed, because his mercies don’t fail."
Mercy,Lamentations 3:23,They are new every morning. Great is your faithfulness.
Comfort,Lamentations 3:32,"For though he causes grief, yet he will have compassion according to the multitude of his loving kindnesses."
Anointing,Leviticus 8:10,"Moses took the anointing oil, and anointed the tabernacle and all that was in it, and sanctified them."
Mary,Luke 1:30,"The angel said to her, ""Don’t be afraid, Mary, for you have found favor with God."""
Mary,Luke 1:46–47,My soul magnifies the Lord. My spirit has rejoiced in God my Savior.
Mary,Luke 1:49,For he who is mighty has done great things for me. Holy is his name.
Compassion,Luke 1:53,He has filled the hungry with good things. He has sent the rich away empty.
Compassion,Luke 12:32,"Don’t be afraid, little flock, for it is your Father’s good pleasure to give you the Kingdom."
Compassion,Luke 6:36,"Therefore be merciful, even as your Father is also merciful."
Compassion,Luke 7:13,"When the Lord saw her, he had compassion on her and said to her, “Don’t cry.”"
Doubt,Malachi 3:6,"For I, the Lord, don’t change."
Courage,Mark 5:36,"Don’t be afraid, only believe."
Doubt,Mark 9:24,I believe. Help my unbelief!
Comfort,Matthew 11:28,"Come to me, all you who labor and are heavily burdened, and I will give you rest."
Comfort,Matthew 11:29,"Take my yoke upon you and learn from me, for I am gentle and humble in heart; and you will find rest for your souls."
Compassion,Matthew 14:13,"Now when Jesus heard this, he withdrew from there in a boat to a deserted place apart. When the multitudes heard it, they followed him on foot from the cities."
Doubt,Matthew 14:31,"You of little faith, why did you doubt?"
Compassion,Matthew 20:32,"Jesus stood still and called them, and asked, “What do you want me to do for you?”"
Love,Matthew 22:39,You shall love your neighbor as yourself.
Love,Matthew 5:16,"Even so, let your light shine before men, that they may see your good works and glorify your Father who is in heaven."
Comfort,Matthew 5:4,"Blessed are those who mourn, for they shall be comforted."
Mercy,Matthew 5:7,"Blessed are the merciful, for they shall obtain mercy."
Love,Matthew 7:12,"Therefore, whatever you desire for men to do to you, you shall also do to them; for this is the law and the prophets."
Compassion,Matthew 8:17,He took our infirmities and bore our diseases.
Compassion,Matthew 9:13,"But you go and learn what this means: ‘I desire mercy, and not sacrifice,’ for I came not to call the righteous, but sinners to repentance."
Courage,Matthew 9:2,"My child, cheer up! Your sins are forgiven you."
Compassion,Matthew 9:35,"Jesus went about all the cities and the villages, teaching in their synagogues and preaching the Good News of the Kingdom, and healing every disease and every sickness among the people."
Compassion,Matthew 9:36,"But when he saw the multitudes, he was moved with compassion for them because they were harassed and scattered, like sheep without a shepherd."
Shelter,Nahum 1:7,"The Lord is good, a stronghold in the day of trouble; and he knows those who take refuge in him."
Courage,Nehemiah 8:10,"Don’t be grieved, for the joy of the Lord is your strength."
Peace,Numbers 6:26,"The Lord lift up his face toward you, and give you peace."
Empowerment,Philippians 4:13,I can do all things through Christ who strengthens me.
Love,Philippians 4:5,Let your gentleness be known to all men. The Lord is at hand.
Wisdom,Proverbs 13:10,"Pride only breeds quarrels, but wisdom is with people who take advice."
Courage,Proverbs 18:10,"God’s name is a strong tower: the righteous run to him, and are safe."
Refuge,Proverbs 2:8,"That he may guard the paths of justice, and preserve the way of his saints."
Love,Proverbs 3:3,Don’t let kindness and truth forsake you. Bind them around your neck. Write them on the tablet of your heart.
Comfort,Proverbs 3:5-6,"Trust in the Lord with all your heart, and don’t lean on your own understanding. In all your ways acknowledge him, and he will make your paths straight."
Shepherd,Psalm 100:3,"Know that Yahweh, he is God. It is he who has made us, and we are his. We are his people, and the sheep of his pasture."
Compassion,Psalm 103:1,"Praise Yahweh, my soul! All that is within me, praise his holy name!"
Compassion,Psalm 103:10,"He has not dealt with us according to our sins, nor repaid us for our iniquities."
Compassion,Psalm 103:13,"Like a father has compassion on his children, so God has compassion on those who fear him."
Compassion,Psalm 103:2,"Praise the Lord, my soul, and don’t forget all his benefits."
Anointing,Psalm 104:2,He covers himself with light as with a garment. He stretches out the heavens like a curtain.
Trust,Psalm 11:1,"In God, I take refuge."
Compassion,Psalm 112:7,"He will not be afraid of evil news. His heart is steadfast, trusting in God."
Compassion,Psalm 116:5,"Yahweh is gracious and righteous. Yes, our God is merciful."
Courage,Psalm 118:14,The lord is my strength and song. He has become my salvation.
Courage,Psalm 118:5,"Out of my distress, I called on God. God answered me with freedom."
Compassion,Psalm 119:156,"Great are your tender mercies, my Lord. Revive me according to your ordinances."
Comfort,Psalm 119:50,"This is my comfort in my affliction, for your word has revived me."
Comfort,Psalm 119:76,"Please let your loving kindness be for my comfort, according to your word to your servant."
Compassion,Psalm 119:77,"Let your tender mercies come to me, that I may live."
Compassion,Psalm 120:1,"In my distress, I cried to Yahweh. He answered me."
Courage,Psalm 121:1-2,I will lift up my eyes to the hills. Where does my help come from? My help comes from God.
Comfort,Psalm 13:5-6,"But I trust in your loving kindness. My heart rejoices in your salvation. I will sing to Yahweh, because he has been good to me."
Courage,Psalm 130:5,I wait for Yahweh. My soul waits. I hope in his word.
Unity,Psalm 133:1,See how good and how pleasant it is for brothers to live together in unity!
Comfort,Psalm 138:8,"The Lord will fulfill that which concerns me. Your loving kindness, Lord, endures forever. Don’t forsake the works of your own hands."
Transformation,Psalm 139:14,"I will give thanks to you, for I am fearfully and wonderfully made."
Compassion,Psalm 145:14,"The Lord upholds all who fall, and raises up all those who are bowed down."
Compassion,Psalm 145:17,"The Lord is righteous in all his ways, and gracious in all his works."
Compassion,Psalm 145:9,The Lord is good to all. His tender mercies are over all his works.
Compassion,Psalm 147:3,"He heals the broken in heart, and binds up their wounds."
Compassion,Psalm 147:4,He counts the number of the stars. He calls them all by their names.
Refuge,Psalm 16:1,"Preserve me, God, for I take refuge in you."
Courage,Psalm 18:16,He sent from on high. He took me. He drew me out of many waters.
Comfort,Psalm 23:1,The Lord is my shepherd; I shall lack nothing.
Compassion,Psalm 23:2,He makes me lie down in green pastures. He leads me beside still waters.
Compassion,Psalm 23:3,He restores my soul. He guides me in the paths of righteousness for his name’s sake.
Courage,Psalm 23:4,"Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me."
Anointing,Psalm 23:5,You prepare a table before mein the presence of my enemies. You anoint my head with oil. My cup runs over.
Trust,Psalm 25:1,"To you, my Lord, I lift up my soul."
Courage,Psalm 27:1,God is my light and my salvation. Whom shall I fear? God is the strength of my life. Of whom shall I be afraid?
Compassion,Psalm 27:10,"When my father and my mother forsake me, then Yahweh will take me up."
Courage,Psalm 27:14,"Wait for Yahweh. Be strong, and let your heart take courage."
Compassion,Psalm 28:6,"Blessed be the Lord, because he has heard the voice of my petitions."
Courage,Psalm 28:7,"God is my strength and my shield. My heart has trusted in him, and I am helped."
Peace,Psalm 29:11,The Lord will give strength to his people. The Lord will bless his people with peace.
Courage,Psalm 3:6,I will not be afraid of tens of thousands of people who have set themselves against me on every side.
Refuge,Psalm 31:1,"In you, my Lord, I take refuge. Let me never be disappointed. Deliver me in your righteousness."
Comfort,Psalm 31:14-15,"But I trust in you, Lord. I said, “You are my God.” My times are in your hand. Deliver me from the hand of my enemies, and from those who persecute me."
Courage,Psalm 31:24,"Be strong, and let your heart take courage, all you who hope in Yahweh."
Courage,Psalm 32:7,You are my hiding place. You will preserve me from trouble. You will surround me with songs of deliverance.
Patience,Psalm 33:20,Our soul has waited for God. He is our help and our shield.
Refuge,Psalm 33:21,"For our heart rejoices in him, because we have trusted in his holy name."
Courage,Psalm 34:10,"The young lions do lack, and suffer hunger, but those who seek the Lord shall not lack any good thing."
