Verse,Reference,Topic
Be strong! Let us fight bravely … The LORD will do what he thinks is best.,1 Chronicles 19:13,Comfort
"I appeal to you, dear brothers and sisters, by the authority of our Lord Jesus Christ, to live in harmony with each other.",1 Corinthians 1:10,Unity
Don’t be concerned for your own good but for the good of others.,1 Corinthians 10:24,Love
Some people perform miracles. Others have the ability to prophesy.,1 Corinthians 12:10,Holy Spirit
"The human body has many parts, but the many parts make up one whole body. So it is with the body of Christ.",1 Corinthians 12:12,Unity
For by one Spirit we are all baptized into one body.,1 Corinthians 12:13,Holy Spirit
"If one part suffers, all the parts suffer with it, and if one part is honored, all the parts are glad.",1 Corinthians 12:26,Love
"All of you together are Christ’s body, and each of you is a part of it.",1 Corinthians 12:27,Unity
No one can say ‘Jesus is Lord’ except by the Holy Spirit.,1 Corinthians 12:3,Holy Spirit
"There are different kinds of spiritual gifts, but the same Spirit is the source of them all.",1 Corinthians 12:4,Holy Spirit
"There are different kinds of service, but we serve the same Lord.",1 Corinthians 12:5,Holy Spirit
The Spirit gives special ability to some to give wise advice.,1 Corinthians 12:8,Holy Spirit
Love is patient and kind. Love is not jealous or boastful or proud.,1 Corinthians 13:4,Love
"Love never gives up, never loses faith, is always hopeful, and endures through every circumstance.",1 Corinthians 13:7,Love
Let love be your highest goal!,1 Corinthians 14:1,Love
For God is not a God of disorder but of peace—as in all the congregations of the Lord’s people.,1 Corinthians 14:33,Peace
But thanks be to God! He gives us victory over sin and death through our Lord Jesus Christ.,1 Corinthians 15:57,Gratitude
Be strong and immovable. Always work enthusiastically for the Lord …,1 Corinthians 15:58,Comfort
"Be alert, stand firm in the faith, be courageous, be strong.",1 Corinthians 16:13,Courage
And do everything with love.,1 Corinthians 16:14,Love
"We have received God’s Spirit (not the world’s spirit), so we can know the wonderful things God has freely given us.",1 Corinthians 2:12,Holy Spirit
Those who are spiritual can evaluate all things.,1 Corinthians 2:15,Holy Spirit
I did this so you would trust not in human wisdom but in the power of God.,1 Corinthians 2:5,Faith
"No eye has seen, no ear has heard, and no mind has imagined what God has prepared for those who love him.",1 Corinthians 2:9,Hope
For the Kingdom of God is not just a lot of talk; it is living by God’s power.,1 Corinthians 4:20,Holy Spirit
He will bring to light what is hidden in darkness and will expose the motives of the heart.,1 Corinthians 4:5,Light in Darkness
"Don't you realize that your body is the temple of the Holy Spirit, who lives in you and was given to you by God?",1 Corinthians 6:19,Holy Spirit
We proclaim to you what we ourselves have actually seen and heard so that you may have fellowship with us.,1 John 1:3,Unity
"God is light, and there is no darkness in him at all.",1 John 1:5,Light in Darkness
"The blood of Jesus, his Son, cleanses us from all sin.",1 John 1:7,Forgiveness
"If we confess our sins to him, he is faithful and just to forgive us our sins and to cleanse us from all wickedness.",1 John 1:9,Forgiveness
"But you have an anointing from the Holy One, and all of you know the truth.",1 John 2:20,Anointing
"As for you, the anointing you received from him remains in you.",1 John 2:27,Anointing
If someone has enough money to live well and sees a brother or sister in need but shows no compassion—how can God’s love be in that person?,1 John 3:17,Love
"Dear children, let’s not merely say that we love each other; let us show the truth by our actions.",1 John 3:18,Love
"Such love has no fear, because perfect love expels all fear.",1 John 4:18,Love
We love each other because he loved us first.,1 John 4:19,Love
For God showed how much he loved us by sending his one and only Son into the world so that we might have eternal life through him.,1 John 4:9,Love
We are confident that he hears us whenever we ask for anything that pleases him.,1 John 5:14,Trust
"And the Spirit, who is truth, confirms it with his testimony.",1 John 5:6,Holy Spirit
Through Christ you have come to trust in God.,1 Peter 1:21,Jesus
"All praise to God, the Father of our Lord Jesus Christ. It is by his great mercy that we have been born again, because God raised Jesus Christ from the dead. Now we live with great expectation,",1 Peter 1:3,New Beginnings
Be truly glad. There is wonderful joy ahead.,1 Peter 1:6,Joy
You love him even though you have never seen him.,1 Peter 1:8,Faith
"For you are free, yet you are God’s slaves, so don’t use your freedom as an excuse to do evil.",1 Peter 2:16,Freedom
He personally carried our sins in his body on the cross so that we can be dead to sin and live for what is right.,1 Peter 2:24,Jesus
Don’t repay evil for evil. Don’t retaliate with insults when people insult you.,1 Peter 3:9,Love
God has given each of you a gift from his great variety of spiritual gifts.,1 Peter 4:10,Grace
Clothe yourselves with humility toward one another.,1 Peter 5:5,Humility
"So humble yourselves under the mighty power of God, and at the right time he will lift you up in honor.",1 Peter 5:6,Humility
"Give all your worries and cares to God, for he cares about you.",1 Peter 5:7,Provision
"The Spirit of God came powerfully upon Saul, and he began to prophesy.",1 Samuel 10:10,Anointing
"The Lord said, 'This is the one; anoint him.'",1 Samuel 16:12,Anointing
Then Samuel took the flask of olive oil he had brought and anointed David with the oil.,1 Samuel 16:13,Anointing
We always thank God for all of you and pray for you constantly.,1 Thessalonians 1:2,Gratitude
So encourage each other and build each other up.,1 Thessalonians 5:11,Encouragement
Be at peace among yourselves.,1 Thessalonians 5:13,Unity
Always be joyful. Never stop praying. Be thankful in all circumstances.,1 Thessalonians 5:16–18,Gratitude
"Be thankful in all circumstances, for this is God’s will for you who belong to Christ Jesus.",1 Thessalonians 5:18,Gratitude
Do not stifle the Holy Spirit.,1 Thessalonians 5:19,Holy Spirit
"I thank Christ Jesus our Lord, who has given me strength to do his work.",1 Timothy 1:12,Gratitude
"The generous grace of our Lord was poured out on me, along with the faith and love that are in Christ Jesus.",1 Timothy 1:14,Grace
"Treat older women as you would your mother, and treat younger women with all purity as you would your own sisters.",1 Timothy 5:2,Love
"Be strong and do not give up, for your work will be rewarded.",2 Chronicles 15:7,Courage
"Don’t be afraid or discouraged because of this vast army. For the battle is not yours, but God’s.",2 Chronicles 20:15,Courage
With us is the Lord our God to help us and to fight our battles!,2 Chronicles 32:8,Comfort
God gave us his Spirit in our hearts as the first installment that guarantees everything he has promised us.,2 Corinthians 1:22,Holy Spirit
"All praise to God, the Father of our Lord Jesus Christ. God is our merciful Father and the source of all comfort. He comforts us in all our troubles so that we can comfort others. When they are troubled, we will be able to give them the same comfort God has given us.",2 Corinthians 1:3-4,Comfort
"For the more we suffer for Christ, the more God will shower us with his comfort …",2 Corinthians 1:5,Comfort
"Even when we are weighed down with troubles, it is for your comfort and salvation! For when we ourselves are comforted, we will certainly comfort you. Then you can patiently endure the same things we suffer.",2 Corinthians 1:6,Comfort
My grace is all you need. My power works best in weakness.,2 Corinthians 12:9,Grace
"Finally, brothers and sisters, rejoice! Strive for full restoration, encourage one another, be of one mind, live in peace.",2 Corinthians 13:11,Unity
"When someone turns to the Lord, the veil is taken away.",2 Corinthians 3:16,Transformation
