Topic,Reference,Verse
Comfort,1.Chronik 19:13,"Sei getrost und laß uns getrost handeln für unser Volk und für die Städte unseres Gottes; der HERR tue, was ihm gefällt."
Unity,1. Korinther 12:27,"Ihr seid aber der Leib Christi und Glieder, ein jeglicher nach seinem Teil."
Comfort,1. Korinther 15:58,"Darum, meine lieben Brüder, seid fest, unbeweglich, und nehmet immer zu in dem Werk des HERRN, sintemal ihr wisset, daß eure Arbeit nicht vergeblich ist in dem HERRN."
Courage,1. Korinther 16:13,"Wachet, stehet im Glauben und seid stark! Alle eure Dinge lasset in der Liebe geschehen!"
Anointing,1. Johannes 2:20,"Und ihr habt die Salbung von dem, der heilig ist, und wisset alles."
Anointing,1. Johannes 2:27,"Und die Salbung, die ihr von ihm empfangen habt, bleibt bei euch."
Love,1. Petrus 3:9,"Vergeltet nicht Böses mit Bösem oder Scheltwort mit Scheltwort, sondern dagegen segnet, und wisset, daß ihr dazu berufen seid, daß ihr den Segen erbet."
Provision,1. Petrus 5:7,Alle Sorge werfet auf ihn; denn er sorgt für euch.
Encouragement,1. Thessalonicher 5:11,"Darum ermahnet euch untereinander und bauet einander auf, wie ihr denn tut."
Unity,1. Thessalonicher 5:13,Seid friedsam mit ihnen.
Courage,2. Chronik 15:7,Ihr aber seid getrost und tut eure Hände nicht ab; denn euer Werk hat seinen Lohn.
Comfort,2. Korinther 1:3-4,"Und ob er wohl gekreuzigt ist in der Schwachheit, so lebt er doch in der Kraft Gottes. Und ob wir auch schwach sind in ihm, so leben wir doch mit ihm in der Kraft Gottes unter euch."
Comfort,2. Korinther 1:5,"Denn gleichwie wir des Leidens Christi viel haben, also werden wir auch reichlich getröstet durch Christus."
Comfort,2. Korinther 1:6,"Ist's Trübsal, so geschieht es euch zu Trost und Heil; welches Heil sich beweist, so ihr leidet mit Geduld, dermaßen, wie wir leiden."
Transformation,2. Korinther 3:16,"Wenn es aber sich bekehrte zu dem HERRN, so würde die Decke abgetan."
Renewal,2. Korinther 4:16,"Darum werden wir nicht müde; sondern, ob unser äußerlicher Mensch verdirbt, so wird doch der innerliche von Tag zu Tag erneuert."
Doubt,2. Korinther 5:7,"Denn wir wandeln im Glauben, und nicht im Schauen."
Compassion,2. Samuel 22:20,"Und er führte mich aus in das Weite, er riß mich heraus; denn er hatte Lust zu mir."
Trust,2. Samuel 22:31,"Er ist ein Schild allen, die ihm vertrauen."
Compassion,2. Thessalonicher 3:3,Aber der HERR ist treu; der wird euch stärken und bewahren vor dem Argen.
Empowerment,2. Timotheus 2:1,"So sei nun stark, mein Sohn, durch die Gnade in Christo Jesu."
Support,2. Timotheus 4:17,Der HERR aber stand mir bei und stärkte mich.
Anointing,Apostelgeschichte 10:38,Wie Gott diesen Jesus von Nazareth gesalbt hat mit dem heiligen Geist und Kraft; der umhergezogen ist und hat wohlgetan.
Transformation,Kolosser 2:13,"Und er hat euch auch mit ihm lebendig gemacht, da ihr tot waret in den Sünden und in eurem unbeschnittenen Fleisch; und hat uns geschenkt alle Sünden."
Compassion,Kolosser 3:12,"So ziehet nun an, als die Auserwählten Gottes, Heiligen und Geliebten, herzliches Erbarmen, Freundlichkeit, Demut, Sanftmut, Geduld"
Comfort,Daniel 10:19,"Und sprach: Fürchte dich nicht, du lieber Mann! Friede sei mit dir! Und sei getrost, sei getrost! Und als er mit mir redete, ermannte ich mich und sprach: Mein HERR rede! Denn du hast mich gestärkt."
Courage,5. Buch Mose 31:8,"Der HERR aber, der selber vor euch her geht, der wird mit dir sein und wird die Hand nicht abtun noch dich verlassen. Fürchte dich nicht und erschrick nicht."
Compassion,5. Buch Mose 4:31,"Denn der HERR, dein Gott, ist ein barmherziger Gott; er wird dich nicht lassen noch verderben."
Time,Prediger 3:1,"Ein jegliches hat seine Zeit, und alles Vornehmen unter dem Himmel hat seine Stunde."
Eternity,Prediger 3:11,"Er aber tut alles fein zu seiner Zeit und läßt ihr Herz sich ängsten, wie es gehen solle in der Welt; denn der Mensch kann doch nicht treffen das Werk, das Gott tut, weder Anfang noch Ende."
Peace,Epheser 2:17,"Und er ist gekommen, hat verkündigt im Evangelium den Frieden euch, die ihr ferne waret, und denen, die nahe waren."
Unity,Epheser 2:18,Denn durch ihn haben wir den Zugang alle beide in einem Geiste zum Vater.
Transformation,Epheser 4:23,Erneuert euch aber im Geist eures Gemüts.
Love,Epheser 4:29,"Lasset kein faul Geschwätz aus eurem Munde gehen, sondern was nützlich zur Besserung ist, wo es not tut, daß es holdselig sei zu hören."
Love,Epheser 4:3,"Und seid fleißig, zu halten die Einigkeit im Geist durch das Band des Friedens."
Compassion,Epheser 4:32,"Seid aber untereinander freundlich, herzlich und vergebet einer dem andern, gleichwie Gott euch auch vergeben hat in Christus."
Unity,Epheser 5:2,"Wandelt in der Liebe, gleichwie Christus uns hat geliebt und sich selbst dargegeben für uns als Gabe und Opfer, Gott zu einem süßen Geruch."
Strength,Epheser 6:10,"Zuletzt, meine Brüder, seid stark in dem HERRN und in der Macht seiner Stärke."
Courage,2. Buch Mose 14:14,"Der HERR wird für euch streiten, und ihr werdet still sein."
Strength,2. Buch Mose 15:2,Der HERR ist meine Stärke und mein Lobgesang und ist mein Heil.
Compassion,2. Buch Mose 33:19,"Und er sprach: Ich will vor deinem Angesicht alle meine Güte vorübergehen lassen und will ausrufen des HERRN Namen vor dir. Wem ich aber gnädig bin, dem bin ich gnädig; und wes ich mich erbarme, des erbarme ich mich."
Transformation,Hesekiel 11:19,Und ich will euch ein einträchtiges Herz geben und einen neuen Geist in euch geben und will das steinerne Herz wegnehmen aus eurem Leibe und ein fleischernes Herz geben.
Water & Life,Galater 3:27,"Denn wieviel euer auf Christus getauft sind, die haben Christus angezogen."
Spirit,Galater 5:22,"Die Frucht aber des Geistes ist Liebe, Freude, Friede, Geduld, Freundlichkeit, Gütigkeit, Glaube, Sanftmut, Keuschheit."
Love,Galater 6:2,"Einer trage des andern Last, so werdet ihr das Gesetz Christi erfüllen."
Endurance,Galater 6:9,Lasset uns aber Gutes tun und nicht müde werden; denn zu seiner Zeit werden wir auch ernten ohne Aufhören.
Love,Hebräer 10:24,Lasset uns untereinander unser selbst wahrnehmen mit Reizen zur Liebe und guten Werken.
Love,Hebräer 13:1,Bleibet fest in der brüderlichen Liebe.
Compassion,Hebräer 13:5,"Der Wandel sei ohne Geiz; und laßt euch genügen an dem, was da ist. Denn er hat gesagt: ""Ich will dich nicht verlassen noch versäumen"""
Courage,Hebräer 13:6,"Also daß wir dürfen sagen: ""Der HERR ist mein Helfer, ich will mich nicht fürchten; was sollte mir ein Mensch tun?"""
Confidence,Hebräer 4:16,"Darum laßt uns hinzutreten mit Freudigkeit zu dem Gnadenstuhl, auf daß wir Barmherzigkeit empfangen und Gnade finden auf die Zeit, wenn uns Hilfe not sein wird."
Water & Life,Jesaja 12:3,Ihr werdet mit Freuden Wasser schöpfen aus den Heilsbrunnen.
Compassion,Jesaja 30:18,"Darum harret der HERR, daß er euch gnädig sei, und hat sich aufgemacht, daß er sich euer erbarme; denn der HERR ist ein Gott des Gerichts. Wohl allen, die sein harren!"
Comfort,Jesaja 35:4,"Saget den verzagten Herzen: Seid getrost, fürchtet euch nicht!"
Compassion,Jesaja 40:1,"Tröstet, tröstet mein Volk! spricht euer Gott."
Courage,Jesaja 40:29,"Er gibt den Müden Kraft, und Stärke genug dem Unvermögenden."
Strength,Jesaja 41:10,"Fürchte dich nicht, ich bin mit dir; weiche nicht, denn ich bin dein Gott; ich stärke dich, ich helfe dir auch, ich erhalte dich durch die rechte Hand meiner Gerechtigkeit."
Companionship,Jesaja 41:13,"Denn ich bin der HERR, dein Gott, der deine rechte Hand stärkt und zu dir spricht: Fürchte dich nicht, ich helfe dir!"
Water & Life,Jesaja 41:18,Ich will Wasserflüsse auf den Höhen öffnen und Brunnen mitten auf den Feldern.
